day,date,week,phase,platform_primary,platform_adaptations,format,content_pillar,objective,funnel_stage,topic,narrative_angle,hook,on_screen_text,visual_concept,caption,cta,hashtags,dimensions,duration,assets_required,visual_prompt,motion_prompt,master_file,export_file,destination_folder,status,approval,publication_time,notes
75,2026-10-09,11,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Elote y esquites callejeros,"Cercano, vapor, colores cálidos.",El queso y el chile cayendo sobre el esquite,Sabor de la calle,[T06-foodporn] Sabor de la calle,"El queso y el chile cayendo sobre el esquite

Así se ve tu menú antes de que lleguen. Tu esquites con queso merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: esquites con queso. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de carrito nocturno. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-75_elote-y-esquites-callejeros_foodporn.png,07-reels/month-03/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
76,2026-10-10,11,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),Transparencia,Valor: transparencia.,Sin comisiones ocultas. Sin letras chiquitas.,Claro y directo,[T10-culture] Claro y directo,"Sin comisiones ocultas. Sin letras chiquitas.

Valor: transparencia.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Transparencia. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-76_transparencia_culture.png,06-posts/month-03/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
77,2026-10-11,11,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),Sin letras chiquitas,"Transparencia comercial: precio claro, sin dark patterns.",Sin trucos ni sorpresas. Renta clara: $100 MXN al mes.,Claro y honesto,[T13-founder-price] Claro y honesto,"Sin trucos ni sorpresas. Renta clara: $100 MXN al mes.

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Sin letras chiquitas. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-77_sin-letras-chiquitas_commercial.png,06-posts/month-03/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
78,2026-10-12,12,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),El domingo de pedidos perdidos,"Sin sistema, la hora pico se traduce en ventas que nunca cobraste.",Saturado un domingo: 3 pedidos se te fueron sin querer,El desorden te cuesta ventas,[T01-pain] El desorden te cuesta ventas,"Saturado un domingo: 3 pedidos se te fueron sin querer

Sin sistema, la hora pico se traduce en ventas que nunca cobraste.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: El domingo de pedidos perdidos. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-78_el-domingo-de-pedidos-perdidos_pain.png,07-reels/month-03/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
79,2026-10-13,12,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Errores que espantan pedidos,"Checklist de fricción: lentitud, precios ocultos, sin fotos…",7 cosas en tu menú digital que te cuestan ventas hoy,Revisa tu menú,[T07-carousel-edu] Revisa tu menú,"7 cosas en tu menú digital que te cuestan ventas hoy

Guárdalo para tu negocio de comida.

Checklist de fricción: lentitud, precios ocultos, sin fotos…

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Errores que espantan pedidos. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-79_errores-que-espantan-pedidos_carousel.png,06-posts/month-03/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
80,2026-10-14,12,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),Categorías que se navegan solas,"Categorías ancladas arriba, scroll suave. Cero confusión.","Tacos, bebidas, postres: el cliente encuentra todo",Navegación clara,[T05-product] Navegación clara,"Tacos, bebidas, postres: el cliente encuentra todo

Categorías ancladas arriba, scroll suave. Cero confusión.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Categorías que se navegan solas. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-80_categorias-que-se-navegan-solas_product.png,07-reels/month-03/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
81,2026-10-15,12,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),El costo de un cliente perdido,Dato ilustrativo de valor de recompra (CASO ILUSTRATIVO).,Perder un recurrente cuesta más que ganar uno nuevo,Cuida al que vuelve,[T08-data] Cuida al que vuelve,"Perder un recurrente cuesta más que ganar uno nuevo

Dato ilustrativo de valor de recompra (CASO ILUSTRATIVO).

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre El costo de un cliente perdido. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-81_el-costo-de-un-cliente-perdido_data.png,06-posts/month-03/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
82,2026-10-16,12,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Parrillada al carbón,"Fuego, humo, sear marks.",El corte sellándose sobre el carbón encendido,El humo que sabe a fin de semana,[T06-foodporn] El humo que sabe a fin de semana,"El corte sellándose sobre el carbón encendido

Así se ve tu menú antes de que lleguen. Tu arrachera a la parrilla merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: arrachera a la parrilla. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de brasas encendidas. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-82_parrillada-al-carbon_foodporn.png,07-reels/month-03/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
83,2026-10-17,12,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),Comunidad StreetBoss,Pieza de pertenencia (sin inventar testimonios).,Restaurantes que decidieron mandar en su negocio,Somos comunidad,[T10-culture] Somos comunidad,"Restaurantes que decidieron mandar en su negocio

Pieza de pertenencia (sin inventar testimonios).

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Comunidad StreetBoss. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-83_comunidad-streetboss_culture.png,06-posts/month-03/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
84,2026-10-18,12,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),Tu competencia ya lo está viendo,"Urgencia honesta, sin falsas escaseces ni plazas inventadas.","Mientras lo piensas, otro ya está vendiendo directo",No te quedes atrás,[T13-founder-price] No te quedes atrás,"Mientras lo piensas, otro ya está vendiendo directo

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Tu competencia ya lo está viendo. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-84_tu-competencia-ya-lo-esta-viendo_commercial.png,06-posts/month-03/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
85,2026-10-19,13,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),La ilusión de “ya tengo redes”,"Sin escaparate, tus redes generan likes, no ventas.",Tienes 10k seguidores… y ni un botón para pedir,Seguidores ≠ pedidos,[T01-pain] Seguidores ≠ pedidos,"Tienes 10k seguidores… y ni un botón para pedir

Sin escaparate, tus redes generan likes, no ventas.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: La ilusión de “ya tengo redes”. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-85_la-ilusion-de-ya-tengo-redes_pain.png,07-reels/month-03/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
86,2026-10-20,13,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Cómo lanzar tu escaparate esta semana,Guía accionable de arranque + precio fundador al cierre.,Tu plan de 5 pasos para vender directo ya,Empieza hoy,[T07-carousel-edu] Empieza hoy,"Tu plan de 5 pasos para vender directo ya

Guárdalo para tu negocio de comida.

Guía accionable de arranque + precio fundador al cierre.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Cómo lanzar tu escaparate esta semana. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-86_como-lanzar-tu-escaparate-esta-semana_carousel.png,06-posts/month-03/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
87,2026-10-21,13,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),Antes y después de tu menú,Comparación visual directa entre el PDF y el escaparate StreetBoss.,Antes: PDF. Después: escaparate que vende.,El cambio se nota,[T05-product] El cambio se nota,"Antes: PDF. Después: escaparate que vende.

Comparación visual directa entre el PDF y el escaparate StreetBoss.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Antes y después de tu menú. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-87_antes-y-despues-de-tu-menu_product.png,07-reels/month-03/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
88,2026-10-22,13,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),StreetBoss en números,Tarjeta resumen de propuesta de valor.,Directo · Cero comisión · < 15 min · 100% tu marca,Los números claros,[T08-data] Los números claros,"Directo · Cero comisión · < 15 min · 100% tu marca

Tarjeta resumen de propuesta de valor.

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre StreetBoss en números. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-88_streetboss-en-numeros_data.png,06-posts/month-03/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
89,2026-10-23,13,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Combo familiar completo,"Cenital de combo grande, abundancia.",Todo el combo servido: para compartir,Para toda la mesa,[T06-foodporn] Para toda la mesa,"Todo el combo servido: para compartir

Así se ve tu menú antes de que lleguen. Tu combo de hamburguesas y papas merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: combo de hamburguesas y papas. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de mesa de madera oscura. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-89_combo-familiar-completo_foodporn.png,07-reels/month-03/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
90,2026-10-24,13,Fase 3: Conversión · Precio fundador · Objeciones · Comunidad,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),Tu marca merece brillar,Cierre de fase de marca: dignificar al restaurante.,Tu logo grande. Tu historia. Tu vitrina.,Brilla tú,[T10-culture] Brilla tú,"Tu logo grande. Tu historia. Tu vitrina.

Cierre de fase de marca: dignificar al restaurante.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Tu marca merece brillar. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-90_tu-marca-merece-brillar_culture.png,06-posts/month-03/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
